teile_id;version;beschreibung;preis;tt_id_fk
1;0;Carbon T40 Monobox;999.00;1
2;0;Rock Shox SID Team;300.00;2
3;0;SRAM XO Carbon;150.00;3
4;0;DT Swiss Felge MTB XR-4.1;300.00;4
5;0;Continental Leader Protection;50.00;5
6;0;Magura Marta SL;249.00;6
7;0;Selle Italia SLR XP;39.00;7
8;0;Race Face Next Carbon Flatbar;199.00;8
9;0;SPD PD-M545;54.00;10
10;0;WCW 7005 T6 Superlight Aluminium;799.00;1
11;0;Xtreme WCR Fullcarbon;249.00;2
12;0;Shimano Dura Ace;299.00;3
13;0;Mavic CXP 22 Rennradfelge;28.00;4
14;0;Continental Grand Prix 4000;39.00;5
15;0;Shimano Dura Ace;179.00;6
16;0;Arione;69.00;7
17;0;Xtreme WCR Race Attack;59.00;8
18;0;Look Keo Classic;57.95;10
19;0;WCW 7005 T6 Ultrastrong Aluminium;299.00;1
20;0;Marzocchi Drop Off;155.00;2
21;0;Magura Julie;99.00;3
22;0;Mavic Felge MTB EX 721;42.00;4
23;0;Continental Slash ProTection;19.00;5
24;0;SRAM X9;99.00;6
25;0;Selle Italia nt 1;29.00;7
26;0;Ritchey Pro Rizer;19.00;8
27;0;Funstyle MTB;19.95;10
